  INFO root [2025-09-02 12:08:08,455] - 
  INFO root [2025-09-02 12:08:08,455] - -----------------------------------------------------------------------------------------


  INFO root [2025-09-02 12:08:08,460] - Resmgr::initialize: KBE_ROOT=/mnt/hgfs/game/Server/kbeLinux/kbengine/
  INFO root [2025-09-02 12:08:08,460] - Resmgr::initialize: KBE_RES_PATH=/mnt/hgfs/game/Server/kbeLinux/kbengine/kbe/res/:/mnt/hgfs/game/Server/kbeLinux/kbengine/assets/:/mnt/hgfs/game/Server/kbeLinux/kbengine/assets/res/:/mnt/hgfs/game/Server/kbeLinux/kbengine/assets/scripts/
  INFO root [2025-09-02 12:08:08,460] - Resmgr::initialize: KBE_BIN_PATH=/mnt/hgfs/game/Server/kbeLinux/kbengine/kbe/bin/server/
  INFO root [2025-09-02 12:08:08,461] - NetworkInterface::initialize(INTERNAL-TCP): bound to all interfaces with default route interface on 192.168.10.127 ( 192.168.10.127:45009 )
  WARN root [2025-09-02 12:08:08,461] - NetworkInterface::initialize(INTERNAL-TCP): Operating with a receive buffer of only 425984 bytes (instead of 16777216)
  WARN root [2025-09-02 12:08:08,461] - NetworkInterface::initialize(INTERNAL-TCP): Operating with a send buffer of only 425984 bytes (instead of 16777216)
  INFO root [2025-09-02 12:08:08,462] - NetworkInterface::initialize(INTERNAL-TCP): address 192.168.10.127:45009, SOMAXCONN=511, rBufSize=425984, wBufSize=425984, this=[0x7ffc8d41e010.
  INFO root [2025-09-02 12:08:08,462] - server-configs:
  INFO root [2025-09-02 12:08:08,462] - 	internalTcpAddr : 192.168.10.127:45009
  INFO root [2025-09-02 12:08:08,462] - 	componentID : 500001
  INFO root [2025-09-02 12:08:09,967] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2025-09-02 12:08:09,968] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2025-09-02 12:08:10,069] - start server app, timing method:rdtsc 3417533219
  INFO root [2025-09-02 12:08:10,239] - ---- baseappmgr Version: 2.5.8. ScriptVersion: 0.1.0. Pythoncore: 3.7.3. Protocol: 00C842919090D3FD4897D0C953C8FBA9. Protocol client: 4EDB66676632D353BE422596980EC70D. Config: Hybrid64 X64. Built: 21:29:02 Aug 27 2025. AppID: 500001. UID: 1001. PID: 1157781 ----
  INFO root [2025-09-02 12:08:10,239] - Server ubuntumyh: Intel(R) Core(TM) i7-14700KF x4 with 8083592kB RAM
  INFO root [2025-09-02 12:08:10,239] - ---- baseappmgr is running ----
 DEBUG root [2025-09-02 12:08:10,241] - Components::process(): Request for the process of identity...
  INFO root [2025-09-02 12:08:17,261] - Components::findComponents: find logger(1)...
  INFO root [2025-09-02 12:08:17,279] - Components::findComponents: found logger, addr:192.168.10.127:43117
  INFO root [2025-09-02 12:08:17,280] - Components::addComponent: reset orderLog, uid=1001!
  INFO root [2025-09-02 12:08:17,280] - Components::addComponent[logger], uid=1001, componentID=200001, globalorderid=1, grouporderid=1, totalcount=1
  INFO root [2025-09-02 12:08:17,281] - Components::findComponents: find dbmgr(2)...
  INFO root [2025-09-02 12:08:17,283] - Components::findComponents: found dbmgr, addr:192.168.10.127:49301
  INFO root [2025-09-02 12:08:17,283] - Components::addComponent: reset orderLog, uid=1001!
  INFO root [2025-09-02 12:08:17,284] - Components::addComponent[dbmgr], uid=1001, componentID=400001, globalorderid=4, grouporderid=1, totalcount=1
  WARN root [2025-09-02 12:08:18,285] - Forwarding logs to logger[192.168.10.127:43117/0/0/0]...
 ERROR root [2025-09-02 12:08:20,792] - BundleBroadcast::receive: failed! It can be caused by the firewall, the broadcastaddr, etc.Maybe broadcastaddr is not a LAN ADDR, or the Machine process is not running.
 ERROR root [2025-09-02 12:08:20,792] - Components::findComponents: receive error!
 ERROR root [2025-09-02 12:10:23,951] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 12:11:42,311] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 12:13:10,426] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 12:14:38,554] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 12:16:06,680] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 12:17:34,831] - EndPoint::close: 4:0 0.0.0.0:0.
 ERROR root [2025-09-02 12:19:02,945] - EndPoint::close: 4:0 0.0.0.0:0.
